"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-01","0.13",",,0,0700","1.1",",I,0","4.0",",I,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-02","0.00","T,,0,0700","0.0","T,,0","4.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-03","0.18",",,0,0700","0.0",",,0","4.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-04","0.01",",,0,0700","0.0","T,,0","4.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-05","0.10",",,0,0700","0.0",",,0","4.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-06","0.10",",,0,0700","0.0",",,0","3.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-07","0.00","T,,0,0700","0.0","T,,0","3.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-08","0.03",",,0,0700","2.0",",,0","3.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-09","0.00",",,0,0700","0.0",",,0","3.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-10","0.70",",,0,0700","4.1",",,0","7.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-11","0.13",",,0,0700","1.7",",,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-12","0.00","T,,0,0700","0.0","T,,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-13","0.00","T,,0,0700","0.0","T,,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-14","0.00",",,0,0700","0.0",",,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-15","0.00","T,,0,0700","0.0","T,,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-16","0.00","P,,0,0700","0.0","P,,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-17","0.74",",,0,0700","4.0",",,0","12.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-18","0.00","P,,0,0700","0.0","P,,0","12.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-19","0.00","P,,0,0700","0.0","P,,0","12.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-20","0.00","P,,0,0700","0.0","P,,0","12.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-21","0.00","T,,0,0700","0.0","T,,0","12.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-22","0.00","T,,0,0700","0.0","T,,0","12.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-23","0.00",",,0,0700","0.0",",,0","10.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-24","0.00",",,0,0700","0.0",",,0","9.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-25","1.20",",,0,0700","7.2",",,0","16.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-26","0.00","P,,0,0700","0.0","P,,0","16.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-27","0.00","P,,0,0700","0.0","P,,0","16.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-28","0.81",",,0,0700","7.2",",,0","23.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-29","0.00","P,,0,0700","0.0","P,,0","23.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-30","0.00","P,,0,0700","0.0","P,,0","23.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-01-31","0.03",",,0,0700","1.0",",,0","24.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-01","0.33",",,0,0700","3.8",",,0","27.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-02","0.00","T,,0,0700","0.0","T,,0","27.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-03","0.00","T,,0,0700","0.0","T,,0","27.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-04","0.06",",,0,0700",,,"28.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-05","0.94",",,0,0700","8.2",",,0","34.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-06","0.08",",,0,0700","1.2",",,0","32.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-07","0.00",",,0,0700","0.0",",,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-08","0.00","T,,0,0700","0.0","T,,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-09","0.00",",,0,0700","0.0",",,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-10","0.00",",,0,0700","0.0",",,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-11","0.00",",,0,0700","0.0",",,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-12","0.03",",,0,0700","1.1",",,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-13","0.00","T,,0,0700","0.0","T,,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-14","0.00",",,0,0700","0.0",",,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-15","0.58",",,0,0700","3.8",",,0","34.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-16","0.02",",,0,0700","0.5",",,0","34.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-17","0.12",",,0,0700","2.0",",,0","36.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-18","0.00",",,0,0700","0.0",",,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-19","0.00",",,0,0700","0.0",",,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-20","0.07",",,0,0700","0.0","T,,0","27.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-21","0.02",",,0,0700","0.0",",,0","26.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-22","0.01",",,0,0700","0.0",",,0","24.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-23","0.10",",,0,0700","0.0",",,0","20.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-24","0.00","T,,0,0700","0.1",",,0","20.0",",,0",,,,,,
