"STAID" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010"
"5" "01076500" 3.58 6.6 4.46 5.87 5.37 16.84 8.36 5.99 9.27 7.04 7.36
"8" "01078000" 3.58 6.6 4.46 5.87 5.37 16.84 8.36 5.99 9.27 7.04 7.36
"9" "01081000" 3.58 6.6 4.46 5.87 5.37 16.84 8.36 5.99 9.27 7.04 7.36
"22" "01089100" 2.93 5.77 3.37 5.14 5.94 12.18 9.78 5.68 8.46 6.63 5.3
"27" "01092000" 4.07 4.99 5.35 3.73 6.32 10.53 11.43 6.54 7.4 7.12 8.31
"32" "01094400" 4.04 7.09 3.41 4.57 6.91 11.87 9.52 5.79 7.05 8.29 9.65
"33" "01094500" 4.04 7.09 3.41 4.57 6.91 11.87 9.52 5.79 7.05 8.29 9.65
"37" "01096000" 4.04 7.09 3.41 4.57 6.91 11.87 9.52 5.79 7.05 8.29 9.65
"38" "01096500" 4.04 7.09 3.41 4.57 6.91 11.87 9.52 5.79 7.05 8.29 9.65
"40" "010965852" 4.07 4.99 5.35 3.73 6.32 10.53 11.43 6.54 7.4 7.12 8.31
"45" "01097000" 3.69 8.01 3.85 4.65 7.31 10.61 9.67 6.53 6.89 8.28 13.29
"46" "01097300" 3.69 8.01 3.85 4.65 7.31 10.61 9.67 6.53 6.89 8.28 13.29
"49" "01098530" 3.65 7.29 4.77 4.17 6.1 13.18 8.65 6.93 7.73 7.16 9.98
"50" "01099500" 5.59 7.14 3.6 3.21 7.11 13.1 12.63 6.56 6.82 6.31 10.68
"51" "01100000" 5.59 7.14 3.6 3.21 7.11 13.1 12.63 6.56 6.82 6.31 10.68
"54" "01100600" 3.69 8.01 3.85 4.65 7.31 10.61 9.67 6.53 6.89 8.28 13.29
