"STAID" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010"
"5" "01076500" 5.61 7.32 4.96 7.43 6.02 16.84 9.68 7.58 9.75 8.11 8.91
"8" "01078000" 5.61 7.32 4.96 7.43 6.02 16.84 9.68 7.58 9.75 8.11 8.91
"9" "01081000" 5.61 7.32 4.96 7.43 6.02 16.84 9.68 7.58 9.75 8.11 8.91
"22" "01089100" 4.82 6.44 5.33 6.78 6.61 14.57 11.09 7.22 8.96 7.55 6.58
"27" "01092000" 6.1 5.81 5.98 4.95 7.07 12.47 12.25 7.14 8.24 8.29 9.26
"32" "01094400" 6.16 7.69 5.11 5.72 7.66 13.51 10.05 7.11 8.85 9.48 10.98
"33" "01094500" 6.16 7.69 5.11 5.72 7.66 13.51 10.05 7.11 8.85 9.48 10.98
"37" "01096000" 6.16 7.69 5.11 5.72 7.66 13.51 10.05 7.11 8.85 9.48 10.98
"38" "01096500" 6.16 7.69 5.11 5.72 7.66 13.51 10.05 7.11 8.85 9.48 10.98
"40" "010965852" 6.1 5.81 5.98 4.95 7.07 12.47 12.25 7.14 8.24 8.29 9.26
"45" "01097000" 5.98 8.91 5.74 5.64 8.19 12.11 10.27 7.25 9 9.77 15.03
"46" "01097300" 5.98 8.91 5.74 5.64 8.19 12.11 10.27 7.25 9 9.77 15.03
"49" "01098530" 5.77 7.97 6.58 6.61 7.27 15.03 9.17 7.78 9.21 8.66 12.03
"50" "01099500" 7.32 8.03 5.35 4.61 7.93 14.33 13.33 7.78 8.5 8.01 11.27
"51" "01100000" 7.32 8.03 5.35 4.61 7.93 14.33 13.33 7.78 8.5 8.01 11.27
"54" "01100600" 5.98 8.91 5.74 5.64 8.19 12.11 10.27 7.25 9 9.77 15.03
