"STAID" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010"
"5" "01076500" 2.03 0.72 0.5 1.56 0.65 0 1.32 1.59 0.48 1.07 1.55
"8" "01078000" 2.03 0.72 0.5 1.56 0.65 0 1.32 1.59 0.48 1.07 1.55
"9" "01081000" 2.03 0.72 0.5 1.56 0.65 0 1.32 1.59 0.48 1.07 1.55
"22" "01089100" 1.89 0.67 1.96 1.64 0.67 2.39 1.31 1.54 0.5 0.92 1.28
"27" "01092000" 2.03 0.82 0.63 1.22 0.75 1.94 0.82 0.6 0.84 1.17 0.95
"32" "01094400" 2.12 0.6 1.7 1.15 0.75 1.64 0.53 1.32 1.8 1.19 1.33
"33" "01094500" 2.12 0.6 1.7 1.15 0.75 1.64 0.53 1.32 1.8 1.19 1.33
"37" "01096000" 2.12 0.6 1.7 1.15 0.75 1.64 0.53 1.32 1.8 1.19 1.33
"38" "01096500" 2.12 0.6 1.7 1.15 0.75 1.64 0.53 1.32 1.8 1.19 1.33
"40" "010965852" 2.03 0.82 0.63 1.22 0.75 1.94 0.82 0.6 0.84 1.17 0.95
"45" "01097000" 2.29 0.9 1.89 0.99 0.88 1.5 0.6 0.72 2.11 1.49 1.74
"46" "01097300" 2.29 0.9 1.89 0.99 0.88 1.5 0.6 0.72 2.11 1.49 1.74
"49" "01098530" 2.12 0.68 1.81 2.44 1.17 1.85 0.52 0.85 1.48 1.5 2.05
"50" "01099500" 1.73 0.89 1.75 1.4 0.82 1.23 0.7 1.22 1.68 1.7 0.59
"51" "01100000" 1.73 0.89 1.75 1.4 0.82 1.23 0.7 1.22 1.68 1.7 0.59
"54" "01100600" 2.29 0.9 1.89 0.99 0.88 1.5 0.6 0.72 2.11 1.49 1.74
