"1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010"
"1076500" 636198.894545455 506748.155378788 1661916.3769697 2001161.77424242 923972.538181818 1925668.69878788 1544867.44151515 1231145.15356061 672790.691515152 2051256.07356061 1307691.46515152 1462881.03909091 1161869.87787879 677597.760227273 2906597.28636364 1145437.10151515 1035356.39424242 2189761.13060606 908663.973333333 1055389.84568182
"1078000" 7843.58568181818 6804.38810606061 30353.0990151515 28638.3078787879 9316.4415719697 32170.7878787879 29552.4518181818 18796.346969697 12693.1299242424 23726.0142424242 31933.4071356061 7444.60161818182 18392.916969697 10171.9462878788 39759.2984090909 26355.5153787879 29442.4208333333 27972.5081060606 10789.5699242424 17736.6517424242
"1081000" 98476.9590151515 71651.9402272727 165775.462651515 130823.231742424 126782.242651515 426586.785681818 220762.747878788 356685.30969697 142987.939015152 257502.29969697 153202.871818182 69158.3899242424 137392.75 109214.429924242 536380.078409091 502548.864469697 296806.152954545 259334.903333333 217235.682651515 366970.434242424
"1089100" 4431.33295454545 3214.53174242424 13986.4220454545 9019.8996969697 8398.475075 22373.1262878788 15494.0372727273 21337.5251515152 6449.21272727273 10779.884469697 16130.5208333333 4349.49048181818 11893.4590151515 9647.83242424242 31363.6402272727 26282.9790151515 18172.4590151515 20306.4551515152 7389.30628787879 18017.7881060606
"1092000" 5013756.41477273 4503167.90151515 30572575.9890909 22807629.8787879 12534871.5442424 26509497.8181818 22463574.2424242 21403426.1818182 9187403.35606061 22023518.7878788 21914173.9624242 8447073.07242424 16859680.2424242 12166076.7272727 37142080.9924242 28847498.4469697 24717117.0606061 22602481.719697 9981254.51515152 24945447.9306061
"1094400" 2993.89901515152 2363.31356060606 13945.5699242424 9189.14204545455 5674.27680227273 13372.9018181818 8780.18333333333 12818.8133333333 5129.51313560606 4831.92628787879 13479.7987878788 2790.92414772727 6754.42090909091 9823.48265151515 13809.0365909091 10532.6499242424 11938.336969697 12957.9875 4331.98787878788 38019.0616810606
"1094500" 9136.74242424243 6252.83901515152 46264.1535606061 26561.2706060606 14302.0751515152 47160.8226515151 34616.4878787879 45316.2862878788 15509.4681060606 20875.4106060606 42579.4051515152 10519.6006060606 28841.2481060606 51010.3571969697 39956.1106060606 31130.5899242424 38474.9165909091 38856.9408333333 11497.9681060606 95609.6854545455
"1096000" 5064.79606060606 3387.17113636364 15766.6806060606 10318.0051515152 5729.99253333333 14843.1953787879 12398.8836363636 16425.3996969697 5077.34431515152 7647.73454545455 13423.8636363636 3281.7443719697 8687.12878787879 13925.2111363636 11544.9553787879 12771.8706060606 15425.2681060606 13729.7353787879 4837.63840909091 34233.9804083333
"1096500" 80000.3590151515 59365.6536363636 493562.702045455 198151.183863636 109243.630606061 359508.387272727 292855.144469697 355246.624469697 104590.721515152 168061.697272727 362505.97719697 70102.7747727273 145097.920909091 224461.070606061 236559.342045455 201414.107878788 344329.422727273 261400.793333333 72530.1918181818 942355.608181818
"10965852" 1419.67901515152 1140.24727272727 9431.97016060606 6418.48842045455 2836.11832954545 6995.95013560606 4636.09756060606 6781.78949318182 2088.48677878788 4068.26810606061 7370.08491742424 1894.2418 4081.11174242424 5987.75659090909 5238.54083333333 11117.224469697 8093.97928106061 5782.04060606061 2449.78628787879 12235.402669697
"1097000" 9441.32878787879 5932.01840909091 45865.2454545455 35703.5935606061 13378.7099242424 30428.2899242424 33094.0675 36695.8820454545 15049.0735606061 20261.2218181818 43560.8093181818 9688.67878787879 20428.0311363636 29051.0127272727 33716.3771969697 30308.8042424242 51648.6406060606 41589.5481060606 9940.6371969697 90056.7347727273
"1097300" 125.631215151515 108.498354545455 580.332168931818 472.445442424242 157.550283969697 417.411542424242 276.688076787879 399.92953769697 120.90156075 179.523360606061 393.686214628788 129.495892909091 182.776311363636 388.446135606061 383.256571969697 480.422942424242 506.540839878788 497.783087878788 107.603584090909 1251.81253942424
"1098530" 9221.90363636364 14660.7915151515 45876.0481060606 27922.4153787879 13312.9451515152 24845.524469697 27537.7724992424 34810.7351515152 14040.3971969697 17642.8715151515 43773.300644697 7871.48424242424 15858.524469697 18625.6206060606 27039.5517424242 28603.0190151515 42669.0427272727 48732.0953787879 8322.82878787879 97875.8335606061
"1099500" 100626.4875 93711.2615151515 584767.475454545 359263.868181818 165705.084469697 300849.792954545 373117.532727273 410849.171742424 172751.209318182 196937.443863636 492664.393560606 107012.018787879 220646.205681818 303589.998409091 316427.329924242 396137.893333333 489830.633560606 406535.87969697 106555.206060606 1167482.12787879
"1100000" 13235023.6363636 9510735.42424242 67670344.4545455 42338579.5378788 24309249.1381818 50967159.4242424 46971144.0909091 45705256.0833333 18310333.9090909 40427150.0606061 48295399.9015151 15858205.4242424 32595308.4469697 30963412.4469697 63700415.719697 61796787 60739290.75 43415340.8106061 18471392.7878788 80071730.7878788
"1100600" 420.493636363636 550.369696969697 2869.50495378788 2509.58482651515 932.756856818182 2933.56265151515 1743.16028106061 3954.58568181818 1230.0597719697 1105.25477272727 4946.2526969697 1157.38211818182 1399.98363636364 2312.74515151515 1659.12151515152 3228.94083333333 3100.57396363636 2302.45356060606 929.509924242424 10225.9799537879
