"1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010"
"1076500" 220904.068888889 209805.396574074 666253.692592592 1236458.59592593 579949.068148148 1088403.89185185 1098727.43740741 923748.096574074 105603.860740741 1087369.58546296 1124126.99592593 1029138.17666667 900077.326296296 338482.427685185 2178485.54407407 755062.572962963 594548.73962963 529695.186296296 437854.906666667 581756.078796296
"1078000" 3584.66990740741 3838.08842592593 10112.0543518518 14060.1162962963 5705.91803240741 15632.2911111111 13994.4966666667 13707.3855555556 3126.62916666667 9043.77518518518 19025.4211731481 6159.21780740741 10119.3696296296 5587.69138888889 27723.5121296296 12932.059537037 13073.779537037 6163.95657407408 2004.70472222222 10470.6825
"1081000" 96366.2536111111 62262.4743518518 53416.425462963 115797.163981481 104890.6425 164663.883981482 185826.151851852 153843.879259259 141225.927685185 147615.527777778 133976.305555556 55081.0284259259 80915.1448148148 37415.1276851852 597097.787685185 115750.556574074 232421.063981481 40097.71 17935.0380555556 118151.721851852
"1089100" 3408.30546296296 2871.70916666667 4642.46546296296 4302.21814814815 5318.98176574074 14175.8069444444 9663.14111111111 13825.79 3710.15851851852 5071.60101851852 9805.00546296296 3969.3238037037 3523.65953703704 4988.67888888889 25246.9928703704 14425.1076851852 8140.76546296297 2810.95037037037 505.849166666667 13227.7810185185
"1092000" 3455554.96990741 3110227.21296296 11052430.0340741 12378608.7407407 8917489.30666667 15422984 13609899.037037 16456319.037037 3732143.73148148 11076565.6296296 15573555.24 8206376.83074074 9490271.33333333 6137273.03703704 32404419.3611111 15166039.7314815 15159998.7037037 3299926.69444444 1703835.88888889 11924592.5048148
"1094400" 969.627685185185 1864.5425 4546.48990740741 2891.29138888889 4555.64869166667 7533.56518518519 4992.97296296296 12681.3637037037 4910.15991388889 4002.45657407407 7449.00962962963 2072.555625 3425.82407407407 3363.74546296296 10427.2869444444 6092.59361111111 7553.77111111111 5900.96101851852 1257.73555555556 20440.1785805556
"1094500" 3815.67333333333 4605.65064814815 16106.6439814815 9087.71148148148 11234.3948148148 24437.8943518519 19677.917037037 45394.8780555556 14491.5432407407 15904.1648148148 21875.872962963 7429.54296296296 13281.8676851852 18390.9076851852 28808.987037037 14887.3387962963 22639.4728703704 19439.2143518518 1800.85064814815 53166.7903703704
"1096000" 2983.58111111111 2913.98842592593 5515.97259259259 3946.81888888889 4222.26951111111 9558.74101851852 7953.79777777778 16101.7811111111 4060.66678518519 5152.06444444445 6942.86888888889 2468.10109907407 4752.48407407407 5496.46546296296 8858.46546296296 7820.22555555556 8345.70101851852 5229.8425 1256.54546296296 20123.7568027778
"1096500" 51219.4113888889 49875.7707407407 168123.154351852 83003.7447222222 92605.2448148148 230271.61037037 184386.986944444 352606.939537037 95413.03 134492.464074074 171327.415833333 53325.4676851852 75350.4485185185 105230.347777778 198579.35287037 80102.7518518518 203306.832962963 104786.368148148 12934.5085185185 422011.80037037
"10965852" 748.990648148148 936.074814814815 3254.11461851852 3257.71280277778 2124.26411388889 5170.67595092593 3362.10702592593 5971.89291388889 1950.34192962963 2467.3262037037 3462.36206203704 1682.18960740741 2036.78472222222 3126.1462037037 4905.87509259259 7030.22472222222 4935.49413611111 2974.88074074074 1077.3262037037 8913.64143333333
"1097000" 6020.22407407408 3505.63657407407 17792.0348148148 14367.3343518519 12385.7387962963 18990.0247222222 20720.8936111111 36748.6069444444 15457.5721296296 16347.7518518519 22846.0943518519 6316.2162962963 12843.4869444444 10543.2925925926 26780.1587962963 17947.02 38956.2933333333 20764.6150925926 2142.2262037037 55484.0217592592
"1097300" 69.532862962963 71.5847444444444 245.281764324074 184.816977777778 133.689585296296 299.934144444444 171.755879037037 407.764999703704 121.717045138889 143.447033333333 182.324789509259 91.3240417777778 93.5641509259259 149.846565740741 351.247476851852 298.728307407407 336.063304740741 280.0121 45.4882990740741 855.667021740741
"1098530" 4805.70148148148 5785.78666666667 18095.9202777778 11909.1758333333 12742.4937037037 17454.8291666667 19807.4765435185 35483.4274074074 15986.1943518518 15624.2133333333 23383.1947657407 6507.64222222222 9027.81657407407 5826.16814814815 22814.1980555556 16370.245462963 36422.5455555556 22601.9158333333 1010.95 51996.5943518519
"1099500" 72424.3232407407 55397.2996296296 250700.495185185 170834.356666667 158626.967685185 221043.770648148 276670.977037037 394015.408425926 178203.371388889 175234.126203704 257153.65212963 83972.7733333333 129748.361759259 126216.956574074 294649.111388889 252969.805185185 423394.709907407 189178.812962963 25079.3540740741 611794.102962963
"1100000" 8419398 7398069.81481481 24898169.0740741 21311858.25 18059706.2177778 30764202.1851852 29666813.7407407 39123105.4351852 10452812.7777778 23713539.037037 31867766.25 15404395.0740741 17700696.5462963 15156854.9166667 56149361.8796296 32186181.0740741 40172460.5462963 7627732.76851852 2298127.33333333 38911152.7407407
"1100600" 167.391481481482 255.305185185185 1219.01763240741 902.535150925926 845.804432407407 2061.64916666667 1045.23280277778 3710.64101851852 1292.92790648148 877.485462962963 2019.03851111111 822.119122222222 825.445185185185 682.744074074074 1532.41888888889 1687.84546296296 2223.97816296296 1128.76027777778 157.480277777778 6717.97989166667
